id_cliente;nombre_cliente;apellido_cliente;correo_cliente;direccion_ip_cliente;categoria_articulo;codigo_articulo;ciudad_cliente;fecha
38-800;Carey;Probey;cprobeyhv@facebook.com;250.3.209.144;C;91;Nueva York;17/02/2018
45-596;Anetta;Tidbury;atidburyh7@tiny.cc;180.218.181.14;A;35;Orlando;6/02/2018
56-342;Doralin;Takle;dtakle8p@dailymotion.com;95.250.192.216;A;13;Phoenix;18/02/2018
98-611;Kermit;Haddon;khaddon6d@joomla.org;117.15.171.173;B;128;Miami;8/02/2018
03-142;Vance;Longstreet;vlongstreet29@engadget.com;233.246.29.54;A;136;Houston;11/02/2018
24-777;Dodie;Chevins;dchevinsc6@goo.ne.jp;184.176.191.66;A;96;Altanta;16/02/2018
62-113;Annabel;Habershon;ahabershonhd@upenn.edu;103.112.51.68;D;65;Houston;26/02/2018
00-411;Cassey;Furmedge;cfurmedgel3@networksolutions.com;224.43.100.15;D;94;Houston;15/02/2018
01-248;Sigrid;Lardez;slardezps@nsw.gov.au;4.8.165.16;D;10;Nueva York;26/02/2018
70-138;Fremont;Munton;fmunton54@nyu.edu;233.147.223.81;B;36;Miami;18/02/2018
56-648;Wain;Joel;wjoelcq@bbb.org;43.123.62.45;B;130;San Fransisco;21/02/2018
19-811;Cherye;Tours;ctours4v@de.vu;74.184.162.98;C;27;Chicago;26/02/2018
93-823;Rockie;Rival;rrivaloo@utexas.edu;184.155.122.26;D;111;Chicago;3/02/2018
45-728;Leoine;Martinson;lmartinsonab@hud.gov;37.128.58.11;D;139;San Diego;22/02/2018
58-448;Charlena;Shervington;cshervingtone8@weather.com;255.49.200.101;C;65;Houston;12/02/2018
80-893;Cariotta;Karlsen;ckarlsenai@usgs.gov;6.175.100.56;A;102;Chicago;21/02/2018
40-049;Rance;Schneidar;rschneidardn@slideshare.net;220.160.200.139;D;74;Denver;18/02/2018
26-820;Tamqrah;Gostyke;tgostykeku@mysql.com;123.240.40.130;B;20;Denver;24/02/2018
26-237;Ainsley;Whapples;awhapples4y@cbslocal.com;111.22.35.181;A;147;Phoenix;12/02/2018
28-222;Alon;Ruggieri;aruggieri2x@a8.net;60.145.65.211;D;48;Nueva York;22/02/2018
87-170;Hilary;Grandham;hgrandhamna@tripod.com;53.0.101.15;C;84;Los Angeles;7/02/2018
08-017;Hale;Keppin;hkeppinqx@unblog.fr;49.227.228.107;C;1;Denver;23/02/2018
00-521;Elinor;Hamblett;ehamblettik@behance.net;146.77.150.192;B;9;Seattle;3/02/2018
76-933;Sibeal;Hovert;shovertjn@livejournal.com;62.177.28.120;A;50;Orlando;4/02/2018
15-521;Alecia;Shobbrook;ashobbrookrm@vk.com;76.177.224.62;A;143;Dallas;23/02/2018
55-525;Janna;Bagger;jbagger76@utexas.edu;210.12.155.74;C;141;Houston;11/02/2018
36-807;Kit;Catteroll;kcatteroll3q@hugedomains.com;91.27.242.1;C;14;Altanta;21/02/2018
54-035;Adele;Shyre;ashyrejd@mozilla.org;225.175.97.138;A;101;Altanta;21/02/2018
24-343;Alisander;Dahlman;adahlman7k@bloglovin.com;236.124.69.108;D;88;Nueva York;6/02/2018
54-608;Cody;Bowser;cbowserfg@indiatimes.com;55.136.65.148;C;64;Chicago;16/02/2018
02-454;Deva;Perel;dperel7b@dailymail.co.uk;39.215.32.120;A;94;Denver;13/02/2018
52-657;Wilt;Graeme;wgraeme1o@nhs.uk;114.132.75.126;B;31;Dallas;12/02/2018
25-506;Deb;Cottle;dcottlejx@example.com;196.58.47.129;A;124;Los Angeles;14/02/2018
60-058;Katie;Morteo;kmorteoov@soundcloud.com;130.8.248.216;C;66;Seattle;3/02/2018
00-611;Hetty;Robion;hrobion3m@zdnet.com;183.109.180.10;A;132;Los Angeles;23/02/2018
57-229;Nancy;Garrard;ngarrard3i@tmall.com;187.101.121.199;C;80;Denver;5/02/2018
88-125;Emylee;Chumley;echumleybn@edublogs.org;139.184.0.26;D;14;Seattle;7/02/2018
30-005;Yulma;McChesney;ymcchesneymd@topsy.com;53.237.115.57;C;54;Nueva York;14/02/2018
74-482;Grissel;Tupling;gtuplingpc@marketwatch.com;175.170.118.90;C;33;San Fransisco;15/02/2018
06-382;Lauri;Harkness;lharknessmh@senate.gov;59.184.160.233;C;75;Altanta;17/02/2018
79-107;Olympe;Ferrucci;oferruccikp@narod.ru;145.193.3.118;C;126;Dallas;26/02/2018
00-406;Willard;Flippen;wflippen1h@uiuc.edu;205.220.181.17;C;77;San Diego;13/02/2018
49-369;Adler;Lathbury;alathburykf@virginia.edu;214.221.21.92;A;27;Dallas;27/02/2018
79-828;Missie;McGoldrick;mmcgoldrickme@macromedia.com;146.129.188.104;C;136;Seattle;16/02/2018
07-852;Skipton;Allmark;sallmarkbi@youku.com;246.12.196.2;B;71;Miami;16/02/2018
76-509;Barbra;Smurfit;bsmurfit3@kickstarter.com;127.107.221.101;A;21;Chicago;1/02/2018
67-434;Damiano;McGurgan;dmcgurganji@livejournal.com;73.202.84.74;B;54;Altanta;5/02/2018
21-465;Amandy;Aingel;aaingel9q@pbs.org;24.252.4.233;B;74;Seattle;15/02/2018
10-429;Ange;Witten;awittenrh@myspace.com;31.130.52.247;D;109;San Diego;5/02/2018
69-763;Venita;Meredith;vmeredith5d@disqus.com;182.106.162.144;D;1;Phoenix;14/02/2018
59-668;Loria;Gurwood;lgurwoodmo@rambler.ru;100.230.251.219;A;9;Phoenix;5/02/2018
88-183;Jorrie;Roxburch;jroxburchic@constantcontact.com;156.167.199.96;C;133;Orlando;17/02/2018
04-287;Sergent;Slessar;sslessarad@networkadvertising.org;209.150.213.208;C;52;Phoenix;19/02/2018
25-322;Beverlee;Gatheridge;bgatheridge4r@prlog.org;189.71.39.228;A;6;Dallas;12/02/2018
83-803;Jonathon;Yeld;jyeldgp@google.com;120.81.132.52;B;69;San Fransisco;5/02/2018
35-671;Marylou;Hattrick;mhattrickbo@friendfeed.com;2.8.162.204;D;59;Denver;17/02/2018
77-781;Wileen;Hammerich;whammerichk1@nps.gov;106.101.161.56;A;29;Altanta;25/02/2018
58-718;Teddi;Urch;turch3h@addthis.com;28.248.180.93;C;2;Seattle;17/02/2018
86-543;Tawnya;Tansley;ttansleycj@yandex.ru;117.175.39.104;C;20;Los Angeles;11/02/2018
89-968;Felike;Maydway;fmaydway8o@issuu.com;177.229.169.32;A;112;San Diego;20/02/2018
34-871;Adela;Kilcullen;akilcullenj5@1688.com;110.201.133.73;A;53;Miami;18/02/2018
75-272;Dominica;Hallock;dhallock6p@wisc.edu;149.162.232.146;D;89;Altanta;24/02/2018
52-648;Riannon;McCaughren;rmccaughrenkm@google.es;48.151.87.35;A;137;San Fransisco;14/02/2018
55-887;Christan;Dumsday;cdumsdayn6@ning.com;150.216.98.68;C;71;Chicago;17/02/2018
85-181;Dar;Giacobo;dgiacobo2w@wunderground.com;253.20.41.213;B;64;Seattle;22/02/2018
00-780;Fern;Pershouse;fpershousekv@howstuffworks.com;237.226.113.14;C;28;Nueva York;16/02/2018
38-292;Alysa;Arrighi;aarrighi6y@blogspot.com;137.13.53.200;B;85;Phoenix;24/02/2018
30-485;Chandler;Eathorne;ceathorne9p@craigslist.org;114.55.89.246;A;107;Miami;7/02/2018
88-521;Marsha;Billin;mbillinhg@tripadvisor.com;239.25.104.54;A;60;Chicago;27/02/2018
35-978;Maurise;Carlozzi;mcarlozziln@google.co.jp;64.76.133.101;D;9;Chicago;8/02/2018
53-491;Ilsa;Strafford;istraffordoe@cbslocal.com;36.134.164.121;B;103;Los Angeles;22/02/2018
30-189;Lionel;Fishbourn;lfishbourn3e@microsoft.com;97.63.199.7;B;11;Dallas;1/02/2018
81-103;Kelvin;Sultana;ksultana39@1und1.de;188.172.14.68;A;34;Dallas;24/02/2018
68-931;Milena;Nitto;mnittob1@nymag.com;125.106.71.129;B;100;Miami;24/02/2018
68-639;Lyell;Kiezler;lkiezlerrd@census.gov;125.72.13.221;A;59;San Fransisco;9/02/2018
58-020;Yolande;Hadlington;yhadlingtonbe@usa.gov;93.97.214.156;D;53;Dallas;26/02/2018
61-127;Erminie;Ferreo;eferreoef@shinystat.com;85.185.57.236;B;113;Los Angeles;6/02/2018
20-979;Zak;Del Castello;zdelcastellok6@360.cn;47.33.90.95;A;31;Phoenix;26/02/2018
60-024;Rubetta;McRuvie;rmcruvie9x@moonfruit.com;13.236.149.140;C;71;Los Angeles;25/02/2018
45-679;Rozele;Barnham;rbarnham1k@chron.com;39.152.90.185;A;147;Houston;13/02/2018
56-759;Yvon;Dyerson;ydyersonr3@ow.ly;74.37.228.36;A;73;San Diego;11/02/2018
48-976;Marybeth;Limeburner;mlimeburnerfn@merriam-webster.com;202.156.185.69;A;15;Phoenix;25/02/2018
70-934;Oliver;Seals;osealsk9@smh.com.au;15.234.21.94;A;128;Altanta;10/02/2018
01-064;Greta;Scoffham;gscoffham5v@prweb.com;81.157.88.78;B;79;Orlando;19/02/2018
41-406;Jeramey;Hallowes;jhallowes6e@gizmodo.com;74.255.228.238;B;57;Phoenix;15/02/2018
64-431;Jackie;De Bruyne;jdebruyne91@sfgate.com;1.99.228.144;B;103;Dallas;3/02/2018
81-058;Crista;Breslane;cbreslanehj@sun.com;63.22.52.15;A;115;Seattle;3/02/2018
75-944;Shea;Portail;sportailqo@wufoo.com;28.35.216.150;D;52;Phoenix;11/02/2018
53-561;Kinnie;Vanshin;kvanshinaz@prnewswire.com;75.33.106.10;B;133;Miami;16/02/2018
39-529;Alejandro;Kreuzer;akreuzerqh@whitehouse.gov;136.210.209.132;A;98;Phoenix;1/02/2018
65-830;Clementius;Peterffy;cpeterffylp@google.co.uk;37.206.216.238;D;42;Phoenix;16/02/2018
17-294;Bevan;Janodet;bjanodetmv@wp.com;14.0.237.173;D;18;Phoenix;23/02/2018
88-955;Mag;Sallows;msallowsjr@adobe.com;92.78.188.168;C;92;Houston;19/02/2018
89-738;Florette;Corris;fcorrish2@hugedomains.com;19.33.140.137;C;122;Seattle;8/02/2018
58-649;Jayson;Tukesby;jtukesbyqw@sitemeter.com;164.59.2.27;A;95;Altanta;6/02/2018
03-720;Natalie;McCullough;nmcculloughr4@tamu.edu;68.238.164.221;D;77;Dallas;9/02/2018
27-143;Davon;Gabbitis;dgabbitisaa@ameblo.jp;161.200.15.117;C;144;Miami;1/02/2018
55-905;Alexio;Reck;areckee@cornell.edu;181.189.187.94;A;72;Chicago;3/02/2018
56-207;Dennie;Angel;dangel8v@theguardian.com;166.123.138.60;A;36;San Diego;10/02/2018
21-383;Granville;Jozef;gjozef7d@flavors.me;146.203.237.150;D;98;Chicago;6/02/2018
17-875;Milissent;Hallmark;mhallmark5z@yale.edu;62.119.178.147;A;84;Los Angeles;11/02/2018
17-429;Wylma;Stolworthy;wstolworthyo4@cafepress.com;194.174.253.158;A;36;Chicago;18/02/2018
27-701;Hamil;Fellowes;hfellowesou@typepad.com;29.127.212.63;C;20;Chicago;21/02/2018
16-838;Malory;Sutterfield;msutterfieldd2@skype.com;0.23.66.71;C;130;San Diego;2/02/2018
50-770;Jervis;Jerrome;jjerromebb@tmall.com;18.55.184.14;D;4;Los Angeles;5/02/2018
94-617;Darsey;Landeaux;dlandeauxfv@google.com.hk;191.253.176.225;A;39;Los Angeles;7/02/2018
46-275;Ara;Eul;aeulal@ucoz.com;10.53.239.18;C;150;Orlando;21/02/2018
26-884;Joe;Tendahl;jtendahljj@xinhuanet.com;254.251.154.146;C;19;Houston;14/02/2018
30-001;Merrielle;Jeff;mjeffdg@examiner.com;82.234.109.146;C;37;Denver;8/02/2018
38-361;Aime;Cracknell;acrackneller@chronoengine.com;237.200.203.6;B;90;Orlando;12/02/2018
83-127;Elna;Ivoshin;eivoshinmz@indiegogo.com;52.56.207.103;B;137;Nueva York;23/02/2018
35-927;Dorotea;Overil;doveril70@fema.gov;186.13.255.138;D;94;Orlando;8/02/2018
78-165;Gauthier;Roderighi;groderighioz@seesaa.net;130.2.80.34;D;35;San Diego;19/02/2018
10-779;Ripley;Lemmertz;rlemmertzh6@google.ru;117.121.162.244;B;16;San Fransisco;8/02/2018
53-835;Ellen;Wernher;ewernhergs@imdb.com;218.96.72.44;C;113;Los Angeles;14/02/2018
28-940;Phillida;Hurle;phurleas@ezinearticles.com;162.72.80.188;B;102;Nueva York;7/02/2018
72-120;Corliss;Cockson;ccocksonq0@patch.com;22.140.142.201;D;133;Orlando;13/02/2018
78-940;Patten;Foxworthy;pfoxworthyfs@com.com;202.82.31.165;D;25;Orlando;6/02/2018
15-772;Jourdan;Fullick;jfullickh3@toplist.cz;174.186.45.10;A;80;Miami;6/02/2018
47-608;Justin;Pyatt;jpyatt1z@tiny.cc;80.255.99.235;C;94;Seattle;14/02/2018
29-008;Kiley;Hankin;khankindt@bloglovin.com;132.80.198.5;C;23;Houston;16/02/2018
79-202;Patrizius;Haggus;phaggus22@businessweek.com;41.18.51.176;C;89;Miami;2/02/2018
52-584;Gallagher;Axcel;gaxcelbk@hostgator.com;57.205.76.106;C;77;Houston;4/02/2018
64-980;Kirsteni;Robardley;krobardleymq@reuters.com;225.54.173.46;B;94;Miami;24/02/2018
90-159;Jasmina;Decent;jdecentaw@goo.ne.jp;96.64.119.212;A;79;San Diego;9/02/2018
92-900;Karim;Mackett;kmackett5u@census.gov;61.25.11.33;C;77;Altanta;7/02/2018
97-338;Kippy;Welbourn;kwelbourn32@hostgator.com;255.216.104.224;D;33;Denver;20/02/2018
42-210;Derek;Dumblton;ddumbltonpz@java.com;208.111.59.159;B;83;Miami;23/02/2018
10-943;Patin;Limeburn;plimeburn86@eventbrite.com;157.227.191.93;A;137;San Diego;6/02/2018
65-041;Erin;Whifen;ewhifenqg@jimdo.com;3.211.191.226;C;87;Houston;5/02/2018
61-254;Neils;Melsome;nmelsomen0@twitpic.com;45.172.157.10;D;54;San Fransisco;16/02/2018
16-095;Cele;Vinall;cvinall2z@wufoo.com;128.34.201.195;A;56;Dallas;18/02/2018
89-437;Ronni;Veque;rvequeaf@sbwire.com;5.199.238.9;B;91;Nueva York;16/02/2018
96-592;Charity;Thon;cthonk0@cnet.com;157.48.228.151;B;65;Nueva York;9/02/2018
11-656;Dudley;Rentoll;drentolllx@w3.org;133.250.139.125;D;43;Seattle;14/02/2018
25-202;Lorri;Rumbold;lrumboldqa@accuweather.com;229.131.125.10;C;83;Houston;23/02/2018
05-317;Rochette;Aspole;raspolemt@telegraph.co.uk;144.91.62.155;D;1;Nueva York;10/02/2018
86-793;Pieter;Wraighte;pwraightef@blinklist.com;4.160.71.218;D;116;Seattle;5/02/2018
03-587;Efrem;Clewes;eclewescg@taobao.com;235.218.112.138;B;18;Seattle;16/02/2018
35-935;Joleen;McCarrick;jmccarrickka@tumblr.com;198.171.196.45;D;29;Phoenix;4/02/2018
22-407;Randi;Deverall;rdeverall20@jigsy.com;252.142.244.76;B;122;Nueva York;7/02/2018
95-563;Blondelle;Lingard;blingardar@tinyurl.com;167.61.108.103;C;106;Nueva York;12/02/2018
78-461;Meredith;Tubritt;mtubritt82@acquirethisname.com;156.243.82.233;B;105;Nueva York;17/02/2018
08-799;Kylie;Rutherford;krutherfordj7@addthis.com;185.106.95.228;A;2;Orlando;12/02/2018
65-614;Willamina;Hedgecock;whedgecock1p@youtu.be;1.219.221.17;D;135;Miami;3/02/2018
13-907;Laurel;Lowy;llowy5k@smugmug.com;149.110.186.197;C;36;Denver;3/02/2018
90-471;Leupold;Norcott;lnorcottf8@a8.net;184.64.168.4;A;3;Seattle;12/02/2018
89-353;Beale;Boards;bboards3k@last.fm;97.147.103.154;A;106;Orlando;22/02/2018
07-769;Euell;Wathen;ewatheniq@spiegel.de;125.53.39.126;A;6;Altanta;19/02/2018
67-993;Olympie;Dible;odible5n@posterous.com;153.97.130.28;C;85;San Fransisco;20/02/2018
73-607;Matilde;Wildblood;mwildblooday@elpais.com;225.213.70.59;C;54;Phoenix;13/02/2018
50-944;Dame;Tooke;dtooke9j@g.co;149.4.154.95;A;37;Houston;5/02/2018
07-261;Winny;Skerman;wskermangg@surveymonkey.com;122.26.50.134;A;33;Houston;10/02/2018
17-573;Gus;Tirrey;gtirrey3j@fda.gov;67.26.92.55;C;103;Chicago;15/02/2018
09-716;Steward;Beames;sbeamespa@ebay.co.uk;98.3.149.27;D;76;Miami;20/02/2018
05-677;Rivy;Popov;rpopovoh@yahoo.co.jp;232.173.208.223;C;110;Altanta;26/02/2018
77-205;Eva;Mc Queen;emcqueenlj@imageshack.us;181.80.189.93;C;29;Nueva York;15/02/2018
62-784;Gaelan;Staten;gstatenlk@wunderground.com;5.94.155.177;A;35;Altanta;16/02/2018
30-088;Matthieu;Varley;mvarleylh@uol.com.br;80.157.214.154;B;61;Altanta;18/02/2018
34-027;Thea;Timblett;ttimblettgw@prweb.com;125.200.11.6;D;35;Orlando;23/02/2018
50-892;Ruggiero;Tuxell;rtuxellc7@gmpg.org;188.214.49.209;D;140;Chicago;10/02/2018
71-503;Lonny;Matthesius;lmatthesiusnx@deliciousdays.com;48.39.222.137;B;34;Denver;23/02/2018
23-132;Sher;Stratten;sstrattend9@yale.edu;74.153.31.79;A;133;Miami;14/02/2018
10-318;Kerwin;Pilipets;kpilipetsmi@yellowbook.com;245.148.32.159;A;31;Seattle;18/02/2018
50-481;Farrand;Kingsworth;fkingsworth2r@bbb.org;112.107.32.90;D;64;Nueva York;22/02/2018
10-915;Baldwin;Ert;bertfx@forbes.com;35.137.104.169;D;22;Miami;22/02/2018
68-654;Thornton;Scotchford;tscotchfordde@columbia.edu;176.107.108.136;B;133;Denver;4/02/2018
23-481;Neile;Errol;nerrolc5@biblegateway.com;238.178.117.92;A;14;San Fransisco;11/02/2018
12-172;Page;Luckin;pluckinfr@howstuffworks.com;234.94.147.133;D;67;San Fransisco;8/02/2018
01-142;Frederica;Hunston;fhunstonbd@newsvine.com;51.149.18.201;B;75;Altanta;10/02/2018
25-650;Chad;Gregoli;cgregoli3s@nba.com;202.203.28.36;B;44;Houston;19/02/2018
17-783;Josy;Luscombe;jluscombe80@sfgate.com;182.143.32.57;D;69;Los Angeles;25/02/2018
79-312;Stavros;Quarrington;squarringtonoj@domainmarket.com;42.205.135.231;D;150;Denver;24/02/2018
59-568;Aldous;O'Scully;aoscullybj@java.com;199.130.247.183;B;91;San Diego;9/02/2018
72-097;Candice;Russel;crusselnz@oakley.com;0.9.136.73;C;62;Phoenix;13/02/2018
72-124;Georges;McGinly;gmcginly1@harvard.edu;38.235.212.119;A;79;Miami;16/02/2018
88-679;Caitrin;Klimowicz;cklimowicz37@usa.gov;252.122.186.193;C;126;Altanta;22/02/2018
13-162;Krishnah;Plumley;kplumley7l@pen.io;83.81.247.38;D;38;Miami;12/02/2018
26-282;Ealasaid;Kivelhan;ekivelhankk@list-manage.com;20.89.137.43;B;113;Denver;17/02/2018
72-601;Oswell;Argente;oargentejv@topsy.com;117.13.203.199;C;71;Houston;20/02/2018
17-533;Graehme;Gurry;ggurryce@uol.com.br;73.90.116.112;A;111;Denver;27/02/2018
62-448;Faydra;Votier;fvotieru@livejournal.com;166.56.211.11;D;45;Chicago;21/02/2018
26-247;Kath;Megroff;kmegroff4e@addthis.com;111.57.82.135;D;105;San Diego;13/02/2018
21-507;Bone;Hearst;bhearsth0@posterous.com;138.227.63.6;B;100;Houston;5/02/2018
39-157;Marcille;Earnshaw;mearnshaw42@home.pl;1.14.217.55;B;97;Nueva York;16/02/2018
32-868;Cam;Meikle;cmeikle7t@cornell.edu;6.216.72.19;B;141;Houston;2/02/2018
36-608;Jeramey;McFadzean;jmcfadzeanh1@npr.org;19.22.120.174;C;35;Chicago;16/02/2018
30-744;Pete;Garwood;pgarwoodpu@hostgator.com;125.237.194.205;D;60;Seattle;13/02/2018
63-172;Ricky;Braycotton;rbraycottona7@wiley.com;177.64.183.127;A;87;Chicago;8/02/2018
40-518;Jephthah;Costy;jcostypw@ed.gov;81.103.84.148;C;124;Chicago;9/02/2018
20-261;Bertie;Ebourne;bebourneha@vk.com;182.175.69.140;B;144;San Fransisco;9/02/2018
00-894;Imelda;Twinborough;itwinboroughc3@redcross.org;185.27.27.144;C;75;San Diego;15/02/2018
34-522;Jobi;Kolodziej;jkolodziejlu@sun.com;66.231.217.34;B;20;Chicago;7/02/2018
02-893;Bartholomew;Larimer;blarimerho@i2i.jp;106.33.62.140;B;79;Nueva York;27/02/2018
31-029;Hamlen;Gilbart;hgilbartjb@ca.gov;34.87.161.229;B;55;San Diego;22/02/2018
68-188;Myca;Dowsey;mdowsey2p@springer.com;183.100.22.191;A;146;San Diego;25/02/2018
36-944;Geno;Philippet;gphilippet8g@printfriendly.com;121.229.216.242;B;44;Orlando;11/02/2018
60-099;Forrest;Buffy;fbuffycv@narod.ru;37.219.194.5;C;74;Los Angeles;20/02/2018
05-436;Rhys;Jenckes;rjenckesau@tamu.edu;14.3.129.179;B;51;Houston;2/02/2018
95-279;Tommy;Beushaw;tbeushawb@livejournal.com;246.33.69.243;A;38;San Diego;16/02/2018
62-542;Rosemary;Gleder;rgleder47@webs.com;225.142.177.28;D;54;Chicago;3/02/2018
44-696;Travers;Shreve;tshreveh@nhs.uk;111.222.154.206;A;135;Miami;4/02/2018
62-660;Nicholle;Wong;nwong74@bizjournals.com;91.100.134.77;C;35;Miami;5/02/2018
65-727;Edeline;Akast;eakastmw@wunderground.com;212.100.223.178;C;96;Altanta;23/02/2018
64-146;Elnora;Hinkensen;ehinkensen1q@google.pl;24.179.171.93;B;63;Los Angeles;25/02/2018
10-313;Avrit;Yeude;ayeuded7@usgs.gov;105.205.245.138;C;146;Dallas;14/02/2018
97-186;Gran;Durrington;gdurrington4a@wp.com;47.226.240.53;C;54;San Fransisco;16/02/2018
82-898;Eleen;Bazelle;ebazellecz@wordpress.org;189.11.16.46;A;88;Orlando;16/02/2018
